Designator,Mid X,Mid Y,Rotation,Layer
C1,150.31,-83.675,90.0,bottom
C10,147.3,-83.675,90.0,bottom
C11,142.8,-83.68,90.0,bottom
C12,143.6,-99.2,270.0,bottom
C13,149.6,-64.75,90.0,top
C14,155.9,-77.4,270.0,top
C15,137.65,-101.8,270.0,top
C16,144.275,-99.85,180.0,top
C17,141.9,-75.275,90.0,top
C2,148.8,-83.675,90.0,bottom
C3,145.8,-83.675,90.0,bottom
C4,144.29,-83.675,90.0,bottom
C5,135.0,-89.25,0.0,bottom
C6,135.0,-92.75,0.0,bottom
C7,151.0,-92.9,180.0,bottom
C8,150.875,-89.34,180.0,bottom
C9,142.1,-99.2,270.0,bottom
D1,147.8,-78.8,90.0,top
J1,143.8,-58.425,180.0,top
J2,126.0,-83.13,0.0,top
J3,143.65,-106.95,270.0,top
J4,160.0,-83.13,0.0,top
R1,146.15,-68.125,270.0,top
R2,141.55,-68.125,90.0,top
R3,144.6,-68.125,270.0,top
R4,143.05,-68.125,270.0,top
R5,141.65,-98.45,90.0,top
R6,132.625,-75.3,0.0,top
R7,137.15,-75.3,180.0,top
R8,153.3,-75.85,180.0,top
SW1,137.5,-71.85,180.0,top
U1,143.0,-91.895,90.0,top
U2,152.8,-71.35,180.0,top
U3,137.0,-79.5,270.0,top
Y1,140.55,-101.8,180.0,top
